ticker,lag_period,correlation,correlation_abs,p_value,significant,strength,direction,valid_data_points,avg_sentiment,sentiment_range,avg_daily_return,return_volatility,price_change_pct
AAPL,same_day,0.06704569694138096,0.06704569694138096,0.8746655337347244,False,Very Weak,Positive,8,0.19985157723363378,0.3808571428571429,0.43547953486881563,1.1109851065161056,3.49298505308923
AAPL,1_day_ahead,-0.6489860103201645,0.6489860103201645,0.08165587153124583,False,Moderate,Negative,8,0.19985157723363378,0.3808571428571429,0.43547953486881563,1.1109851065161056,3.49298505308923
AAPL,2_day_ahead,-0.7724023482613342,0.7724023482613342,0.04180782158091467,True,Strong,Negative,7,0.19985157723363378,0.3808571428571429,0.43547953486881563,1.1109851065161056,3.49298505308923
AAPL,3_day_ahead,0.03189739436597145,0.03189739436597145,0.9521701353535887,False,Very Weak,Positive,6,0.19985157723363378,0.3808571428571429,0.43547953486881563,1.1109851065161056,3.49298505308923
AAPL,5_day_ahead,0.6067380771668068,0.6067380771668068,0.3932619228331933,False,Moderate,Positive,4,0.19985157723363378,0.3808571428571429,0.43547953486881563,1.1109851065161056,3.49298505308923
JPM,same_day,0.0363784678237314,0.0363784678237314,0.838154796700032,False,Very Weak,Positive,34,0.12128044217687073,0.8999999999999999,0.127672435925956,1.1260724372192525,3.0704452961104236
JPM,1_day_ahead,0.27671319653324306,0.27671319653324306,0.11313414373813112,False,Weak,Positive,34,0.12128044217687073,0.8999999999999999,0.127672435925956,1.1260724372192525,3.0704452961104236
JPM,2_day_ahead,-0.13280909532841936,0.13280909532841936,0.4612524136344419,False,Very Weak,Negative,33,0.12128044217687073,0.8999999999999999,0.127672435925956,1.1260724372192525,3.0704452961104236
JPM,3_day_ahead,-0.07165355415925452,0.07165355415925452,0.6967519439712775,False,Very Weak,Negative,32,0.12128044217687073,0.8999999999999999,0.127672435925956,1.1260724372192525,3.0704452961104236
JPM,5_day_ahead,0.24279483481677494,0.24279483481677494,0.19608680124598288,False,Weak,Positive,30,0.12128044217687073,0.8999999999999999,0.127672435925956,1.1260724372192525,3.0704452961104236
UNH,same_day,0.1616997930482585,0.1616997930482585,0.312480514822943,False,Very Weak,Positive,41,0.06603479308390023,1.1116666666666666,0.39159827527438046,1.9004413975047556,17.645548868416157
UNH,1_day_ahead,0.06301848841188962,0.06301848841188962,0.6954825016433925,False,Very Weak,Positive,41,0.06603479308390023,1.1116666666666666,0.39159827527438046,1.9004413975047556,17.645548868416157
UNH,2_day_ahead,-0.2088124165567539,0.2088124165567539,0.1959843936883947,False,Weak,Negative,40,0.06603479308390023,1.1116666666666666,0.39159827527438046,1.9004413975047556,17.645548868416157
UNH,3_day_ahead,-0.06733451388120762,0.06733451388120762,0.6837983790845351,False,Very Weak,Negative,39,0.06603479308390023,1.1116666666666666,0.39159827527438046,1.9004413975047556,17.645548868416157
UNH,5_day_ahead,-0.12667839880892273,0.12667839880892273,0.4549881451735226,False,Very Weak,Negative,37,0.06603479308390023,1.1116666666666666,0.39159827527438046,1.9004413975047556,17.645548868416157
AMZN,same_day,-0.9169691803370705,0.9169691803370705,0.2612561892904642,False,Strong,Negative,3,0.06324999318420371,0.5903996101364523,-0.5893385802494914,2.3036380362850974,-1.8108122607599648
AMZN,1_day_ahead,-0.6088388908316356,0.6088388908316356,0.5832711724107131,False,Moderate,Negative,3,0.06324999318420371,0.5903996101364523,-0.5893385802494914,2.3036380362850974,-1.8108122607599648
AMZN,2_day_ahead,,,,False,Insufficient Data,N/A,2,0.06324999318420371,0.5903996101364523,-0.5893385802494914,2.3036380362850974,-1.8108122607599648
AMZN,3_day_ahead,,,,False,Insufficient Data,N/A,1,0.06324999318420371,0.5903996101364523,-0.5893385802494914,2.3036380362850974,-1.8108122607599648
AMZN,5_day_ahead,,,,False,Insufficient Data,N/A,0,0.06324999318420371,0.5903996101364523,-0.5893385802494914,2.3036380362850974,-1.8108122607599648
WMT,same_day,0.008632933857912138,0.008632933857912138,0.958401612756571,False,Very Weak,Positive,39,0.1209991987179487,0.8150000000000001,0.06563129427632057,1.233231084531918,2.8057128389264983
WMT,1_day_ahead,-0.1370586238650925,0.1370586238650925,0.4053978660933215,False,Very Weak,Negative,39,0.1209991987179487,0.8150000000000001,0.06563129427632057,1.233231084531918,2.8057128389264983
WMT,2_day_ahead,0.09546602313392143,0.09546602313392143,0.5685839502144829,False,Very Weak,Positive,38,0.1209991987179487,0.8150000000000001,0.06563129427632057,1.233231084531918,2.8057128389264983
WMT,3_day_ahead,0.08771660233544347,0.08771660233544347,0.6056846445228096,False,Very Weak,Positive,37,0.1209991987179487,0.8150000000000001,0.06563129427632057,1.233231084531918,2.8057128389264983
WMT,5_day_ahead,-0.2389043443813996,0.2389043443813996,0.16692361772250314,False,Weak,Negative,35,0.1209991987179487,0.8150000000000001,0.06563129427632057,1.233231084531918,2.8057128389264983
T,same_day,-0.09631594053498545,0.09631594053498545,0.5149023284610447,False,Very Weak,Negative,48,0.14403555074753302,0.6114285714285714,-0.2851308847827046,1.4407019961212917,-13.74237387880961
T,1_day_ahead,0.19707974606174894,0.19707974606174894,0.17939255787353736,False,Very Weak,Positive,48,0.14403555074753302,0.6114285714285714,-0.2851308847827046,1.4407019961212917,-13.74237387880961
T,2_day_ahead,0.09646284108455658,0.09646284108455658,0.5189173995868148,False,Very Weak,Positive,47,0.14403555074753302,0.6114285714285714,-0.2851308847827046,1.4407019961212917,-13.74237387880961
T,3_day_ahead,0.16198549147387725,0.16198549147387725,0.282139028235981,False,Very Weak,Positive,46,0.14403555074753302,0.6114285714285714,-0.2851308847827046,1.4407019961212917,-13.74237387880961
T,5_day_ahead,0.24827392596018896,0.24827392596018896,0.10416063445003294,False,Weak,Positive,44,0.14403555074753302,0.6114285714285714,-0.2851308847827046,1.4407019961212917,-13.74237387880961
BA,same_day,0.45854370616272755,0.45854370616272755,0.008303008877659019,True,Moderate,Positive,32,-0.04517885565612839,0.9724999999999999,-0.03543323956079619,1.6853070542086397,-1.0928964451558398
BA,1_day_ahead,0.038189075897433145,0.038189075897433145,0.8356111423671505,False,Very Weak,Positive,32,-0.04517885565612839,0.9724999999999999,-0.03543323956079619,1.6853070542086397,-1.0928964451558398
BA,2_day_ahead,-0.30874561191524663,0.30874561191524663,0.09103718428487277,False,Weak,Negative,31,-0.04517885565612839,0.9724999999999999,-0.03543323956079619,1.6853070542086397,-1.0928964451558398
BA,3_day_ahead,0.0399437773619036,0.0399437773619036,0.8340047657332241,False,Very Weak,Positive,30,-0.04517885565612839,0.9724999999999999,-0.03543323956079619,1.6853070542086397,-1.0928964451558398
BA,5_day_ahead,0.07795377337680084,0.07795377337680084,0.6933690971128001,False,Very Weak,Positive,28,-0.04517885565612839,0.9724999999999999,-0.03543323956079619,1.6853070542086397,-1.0928964451558398
